Category ID,Category Path,Standard Fee Rate,Basic Fee Rate,Premium Fee Rate,Anchor Fee Rate
37908,Antiques > Antiquities > The Americas,10%,9.15%,9.15%,9.15%
162922,Antiques > Antiquities > Byzantine,10%,9.15%,9.15%,9.15%
162923,Antiques > Antiquities > Celtic,10%,9.15%,9.15%,9.15%
37905,Antiques > Antiquities > Egyptian,10%,9.15%,9.15%,9.15%
162916,Antiques > Antiquities > Far Eastern,10%,9.15%,9.15%,9.15%
37906,Antiques > Antiquities > Greek,10%,9.15%,9.15%,9.15%
162917,Antiques > Antiquities > Holy Land,10%,9.15%,9.15%,9.15%
162918,Antiques > Antiquities > Islamic,10%,9.15%,9.15%,9.15%
91101,Antiques > Antiquities > Near Eastern,10%,9.15%,9.15%,9.15%
66834,Antiques > Antiquities > Neolithic & Paleolithic,10%,9.15%,9.15%,9.15%
37907,Antiques > Antiquities > Roman,10%,9.15%,9.15%,9.15%
162919,Antiques > Antiquities > South Italian,10%,9.15%,9.15%,9.15%
162920,Antiques > Antiquities > Viking,10%,9.15%,9.15%,9.15%
162921,Antiques > Antiquities > Reproductions,10%,9.15%,9.15%,9.15%
171169,Antiques > Antiquities > Price Guides & Publications,10%,9.15%,9.15%,9.15%
73464,Antiques > Antiquities > Other Antiquities,10%,9.15%,9.15%,9.15%
162925,Antiques > Architectural & Garden > Balusters,10%,9.15%,9.15%,9.15%
162926,Antiques > Architectural & Garden > Barn Doors & Barn Door Hardware,10%,9.15%,9.15%,9.15%
162927,Antiques > Architectural & Garden > Beams,10%,9.15%,9.15%,9.15%
37909,Antiques > Architectural & Garden > Ceiling Tins,10%,9.15%,9.15%,9.15%
63516,"Antiques > Architectural & Garden > Chandeliers, Sconces & Lighting Fixtures",10%,9.15%,9.15%,9.15%
162928,Antiques > Architectural & Garden > Columns & Posts,10%,9.15%,9.15%,9.15%
162929,Antiques > Architectural & Garden > Corbels,10%,9.15%,9.15%,9.15%
37910,Antiques > Architectural & Garden > Doors,10%,9.15%,9.15%,9.15%
63517,Antiques > Architectural & Garden > Finials,10%,9.15%,9.15%,9.15%
63518,"Antiques > Architectural & Garden > Fireplaces, Mantels & Fireplace Accessories",10%,9.15%,9.15%,9.15%
4708,Antiques > Architectural & Garden > Garden,10%,9.15%,9.15%,9.15%
37912,Antiques > Architectural & Garden > Hardware > Door Bells & Knockers,10%,9.15%,9.15%,9.15%
37914,Antiques > Architectural & Garden > Hardware > Door Knobs & Handles,10%,9.15%,9.15%,9.15%
37916,Antiques > Architectural & Garden > Hardware > Door Plates & Backplates,10%,9.15%,9.15%,9.15%
162933,Antiques > Architectural & Garden > Hardware > Drawer Pulls,10%,9.15%,9.15%,9.15%
162934,Antiques > Architectural & Garden > Hardware > Escutcheons & Key Hole Covers,10%,9.15%,9.15%,9.15%
162935,Antiques > Architectural & Garden > Hardware > Heating Grates & Vents,10%,9.15%,9.15%,9.15%
184487,Antiques > Architectural & Garden > Hardware > Hinges,10%,9.15%,9.15%,9.15%
37913,"Antiques > Architectural & Garden > Hardware > Hooks, Brackets & Curtain Rods",10%,9.15%,9.15%,9.15%
37915,"Antiques > Architectural & Garden > Hardware > Locks, Latches & Keys",10%,9.15%,9.15%,9.15%
162930,Antiques > Architectural & Garden > Hardware > Nails,10%,9.15%,9.15%,9.15%
162931,Antiques > Architectural & Garden > Hardware > Screws,10%,9.15%,9.15%,9.15%
162932,Antiques > Architectural & Garden > Hardware > Switch Plates & Outlet Covers,10%,9.15%,9.15%,9.15%
66637,Antiques > Architectural & Garden > Hardware > Other Antique Hardware,10%,9.15%,9.15%,9.15%
162936,Antiques > Architectural & Garden > Pediments,10%,9.15%,9.15%,9.15%
167948,Antiques > Architectural & Garden > Plumbing & Fixtures,10%,9.15%,9.15%,9.15%
63519,Antiques > Architectural & Garden > Signs & Plaques,10%,9.15%,9.15%,9.15%
151721,Antiques > Architectural & Garden > Stained Glass Windows,10%,9.15%,9.15%,9.15%
112084,Antiques > Architectural & Garden > Stair & Carpet Rods,10%,9.15%,9.15%,9.15%
37917,Antiques > Architectural & Garden > Tiles,10%,9.15%,9.15%,9.15%
37918,Antiques > Architectural & Garden > Weathervanes & Lightning Rods,10%,9.15%,9.15%,9.15%
63520,"Antiques > Architectural & Garden > Windows, Shutters & Sash Locks",10%,9.15%,9.15%,9.15%
162937,Antiques > Architectural & Garden > Reproductions,10%,9.15%,9.15%,9.15%
171170,Antiques > Architectural & Garden > Price Guides & Publications,10%,9.15%,9.15%,9.15%
1207,Antiques > Architectural & Garden > Other Architectural Antiques,10%,9.15%,9.15%,9.15%
162938,Antiques > Asian Antiques > Burma,10%,9.15%,9.15%,9.15%
162939,Antiques > Asian Antiques > China > Amulets,10%,9.15%,9.15%,9.15%
162940,Antiques > Asian Antiques > China > Armor,10%,9.15%,9.15%,9.15%
37920,Antiques > Asian Antiques > China > Baskets,10%,9.15%,9.15%,9.15%
162941,Antiques > Asian Antiques > China > Bells,10%,9.15%,9.15%,9.15%
37921,Antiques > Asian Antiques > China > Bowls,10%,9.15%,9.15%,9.15%
37922,Antiques > Asian Antiques > China > Boxes,10%,9.15%,9.15%,9.15%
162966,Antiques > Asian Antiques > China > Bracelets,10%,9.15%,9.15%,9.15%
162967,Antiques > Asian Antiques > China > Brush Pots,10%,9.15%,9.15%,9.15%
162968,Antiques > Asian Antiques > China > Brush Washers,10%,9.15%,9.15%,9.15%
37923,Antiques > Asian Antiques > China > Cabinets,10%,9.15%,9.15%,9.15%
37924,Antiques > Asian Antiques > China > Chairs,10%,9.15%,9.15%,9.15%
37925,Antiques > Asian Antiques > China > Chests,10%,9.15%,9.15%,9.15%
162942,Antiques > Asian Antiques > China > Fans,10%,9.15%,9.15%,9.15%
184440,Antiques > Asian Antiques > China > Figurines & Statues,10%,9.15%,9.15%,9.15%
37926,Antiques > Asian Antiques > China > Glasses & Cups,10%,9.15%,9.15%,9.15%
162943,Antiques > Asian Antiques > China > Incense Burners,10%,9.15%,9.15%,9.15%
162944,Antiques > Asian Antiques > China > Ink Stones,10%,9.15%,9.15%,9.15%
162945,Antiques > Asian Antiques > China > Masks,10%,9.15%,9.15%,9.15%
37927,Antiques > Asian Antiques > China > Necklaces & Pendants,10%,9.15%,9.15%,9.15%
38124,Antiques > Asian Antiques > China > Paintings & Scrolls,10%,9.15%,9.15%,9.15%
37928,Antiques > Asian Antiques > China > Plates,10%,9.15%,9.15%,9.15%
37929,Antiques > Asian Antiques > China > Pots,10%,9.15%,9.15%,9.15%
162946,Antiques > Asian Antiques > China > Rings,10%,9.15%,9.15%,9.15%
155352,Antiques > Asian Antiques > China > Robes & Textiles,10%,9.15%,9.15%,9.15%
162947,Antiques > Asian Antiques > China > Seals,10%,9.15%,9.15%,9.15%
37930,Antiques > Asian Antiques > China > Snuff Bottles,10%,9.15%,9.15%,9.15%
162963,Antiques > Asian Antiques > China > Swords,10%,9.15%,9.15%,9.15%
37932,Antiques > Asian Antiques > China > Tables,10%,9.15%,9.15%,9.15%
162964,Antiques > Asian Antiques > China > Tea Caddies,10%,9.15%,9.15%,9.15%
162965,Antiques > Asian Antiques > China > Teapots,10%,9.15%,9.15%,9.15%
37933,Antiques > Asian Antiques > China > Vases,10%,9.15%,9.15%,9.15%
